Account_ID,Industry,Sub_Industry,Region,Country,State,City,Postal_Code,Customer_Since,Status,Account_Name,Account_Manager,Employee_Count,Customer_Lifecycle_Stage,Account_Score
ACC-000001,Finance,Banking,Africa,Morocco,,North Christopher,78142,2023-09-02 08:09:40,Inactive,Fortive Corporation,Kimberly Glover,30446,Brand Ambassador,73
ACC-000002,Technology,Telecommunications,North America,Canada,Quebec,Rhondaview,36458,2023-03-21 03:48:54,Churned,Entergy Corporation,Jordan Simpson,14861,Brand Ambassador,71
ACC-000003,Healthcare,Biotechnology,Africa,Kenya,,South Kathyfurt,19873,2021-10-08 22:56:28,Inactive,"Coinbase Global, Inc.",Tammy Rodriguez,28267,New Contact,17
ACC-000004,Healthcare,Biotechnology,Latin America,Brazil,,Davidchester,96678,2025-03-12 02:18:48,Inactive,"DoorDash, Inc.",Brian Daniels,8750,Trusted Customer,87
ACC-000005,Manufacturing,Electronics,North America,United States,Illinois,Lake Ashley,21406,2021-07-04 12:49:24,Inactive,"Dropbox, Inc.",Adrian Fischer,27360,Trusted Customer,58
ACC-000006,Finance,Insurance,Asia Pacific,Australia,,Isabellahaven,32970,2024-02-22 20:37:56,Inactive,Emerson Electric Co.,Felicia Taylor,1165,Disengaged Customer,82
ACC-000007,Education,EdTech,Latin America,Brazil,,North Matthewfort,02237,2024-10-14 14:55:20,Inactive,"First Solar, Inc.",Kristin Rodriguez,20669,Trusted Customer,7
ACC-000008,Manufacturing,Electronics,Europe,Italy,,Lake Patricia,52489,2025-04-27 06:46:08,Active,The Coca-Cola Company,Mrs. Debbie Ramirez,45332,Potential Customer,29
ACC-000009,Government,State,Europe,Italy,,Lake Gary,16610,2021-07-09 19:16:31,Inactive,"Elevance Health, Inc.",Emma Burns,17551,Disengaged Customer,8
ACC-000010,Government,Defense,Asia Pacific,China,,Mariaport,00739,2023-05-31 00:45:58,Inactive,Dell Technologies Inc.,David Lopez,22596,Active Customer,34
ACC-000011,Government,Defense,Asia Pacific,Japan,,Berryview,72635,2024-02-18 02:10:33,Active,"Meta Platforms, Inc.",Dave Bennett,20661,Active Customer,34
ACC-000012,Government,State,Asia Pacific,Australia,,Mcdanielborough,03090,2021-09-22 15:23:13,Pending,Zoom Communications Inc.,James Ortiz,38949,Potential Customer,90
ACC-000013,Manufacturing,Automotive,North America,Canada,Alberta,Floresmouth,54919,2024-08-01 16:23:09,Active,"EOG Resources, Inc.",Mark Johnson,30213,Trusted Customer,48
ACC-000014,Energy,Mining,North America,United States,Florida,West Ian,17619,2024-11-30 16:36:18,Churned,"Citizens Financial Group, Inc.",Joann Dyer,40560,Active Customer,61
ACC-000015,Retail,Fashion,Africa,Kenya,,Port Andrew,33416,2022-06-22 12:22:04,Active,Hewlett Packard Enterprise Company,Donald Nixon,48369,Active Customer,9
ACC-000016,Education,Higher Education,Europe,Germany,Bavaria,West Christopherborough,79592,2023-07-05 23:52:24,Churned,Alphabet Inc.,Christopher Anderson,706,New Contact,26
ACC-000017,Manufacturing,Food Processing,Latin America,Brazil,,Port Ronaldville,84893,2023-01-03 11:19:13,Churned,Spotify Technology S.A.,Brent Hudson,23416,Active Customer,72
ACC-000018,Education,Training,Africa,Egypt,,Samanthachester,84620,2024-08-07 04:29:32,Churned,Electronic Arts Inc.,Chase Scott,20108,New Contact,87
ACC-000019,Manufacturing,Automotive,Asia Pacific,Singapore,,Port Dennis,53280,2021-11-15 07:04:26,Pending,"Fortinet, Inc.",Jennifer Thompson,7604,Potential Customer,41
ACC-000020,Retail,Grocery,North America,Canada,Alberta,South Thomas,62623,2024-08-27 21:30:55,Active,"Salesforce, Inc.",Brenda Davis,18124,Trusted Customer,26
ACC-000021,Healthcare,Biotechnology,Asia Pacific,Singapore,,Port Williamhaven,27541,2023-03-05 22:38:41,Churned,"Cisco Systems, Inc.",Lindsay Kelly MD,31628,Potential Customer,71
ACC-000022,Manufacturing,Textiles,Europe,France,,Jasonmouth,37478,2021-12-12 15:27:13,Active,Eastman Chemical Company,Scott Collins,49812,Potential Customer,75
ACC-000023,Government,Public Services,Asia Pacific,Australia,,North Catherine,62681,2025-06-21 22:34:47,Active,Tata Consultancy Services Limited,Veronica Huff,40718,Disengaged Customer,77
ACC-000024,Energy,Power Generation,North America,United States,Illinois,South William,68179,2024-10-13 09:36:40,Churned,"Netflix, Inc.",Jennifer Jones,37266,Potential Customer,16
ACC-000025,Government,Local,Europe,France,,Lake Harryfurt,82032,2024-07-06 15:28:52,Pending,CME Group Inc.,Victoria Orozco,47834,Potential Customer,51
ACC-000026,Energy,Renewable Energy,Europe,Germany,Hamburg,Jacksonport,40128,2023-11-23 22:13:30,Churned,Equifax Inc.,Tony Franklin,27036,Active Customer,58
